video,width,height,fps,frame_count,duration_sec,passed_screen,target_ts_sec,used_ts_sec,image,status,message
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0275.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0275_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0276.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0276_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0277.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0277_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0308.MP4,1920.0,1080.0,23.976023976023978,22340.0,931.764,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0308_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0309.MP4,1920.0,1080.0,23.976023976023978,22335.0,931.556,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0309_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0310.MP4,1920.0,1080.0,23.976023976023978,22316.0,930.763,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0310_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0311.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0311_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0312.MP4,1920.0,1080.0,23.976023976023978,22383.0,933.558,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0312_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0313.MP4,1920.0,1080.0,23.976023976023978,22334.0,931.514,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0313_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0314.MP4,1920.0,1080.0,23.976023976023978,22366.0,932.849,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0314_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0315.MP4,1920.0,1080.0,23.976023976023978,22719.0,947.572,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0315_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0316.MP4,1920.0,1080.0,23.976023976023978,22513.0,938.98,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0316_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0317.MP4,1920.0,1080.0,23.976023976023978,22334.0,931.514,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0317_t300.000s.jpg,ok,
